"skills","avg_salary","demand_count"
"pandas","151821","9"
"numpy","143513","5"
"databricks","141907","10"
"atlassian","131162","5"
"airflow","126103","5"
"scala","124903","5"
"crystal","120100","5"
"go","115320","27"
"confluence","114210","11"
"hadoop","113193","22"
"snowflake","112948","37"
"git","112000","5"
"azure","111225","34"
"bigquery","109654","13"
"aws","108317","32"
"java","106906","17"
"ssis","106683","12"
"jira","104918","20"
"oracle","104534","37"
"dax","104500","10"
"looker","103795","49"
"sap","102920","8"
"nosql","101414","13"
"python","101397","236"
"r","100499","148"
